Subject,Accuracy,Precision,Recall,F1
S06,1.0,0.0,0.0,0.0
S07,1.0,0.0,0.0,0.0
S08,1.0,0.0,0.0,0.0
S09,1.0,0.0,0.0,0.0
S10,1.0,0.0,0.0,0.0
S11,1.0,0.0,0.0,0.0
S12,1.0,0.0,0.0,0.0
S13,1.0,0.0,0.0,0.0
S14,1.0,0.0,0.0,0.0
S15,1.0,0.0,0.0,0.0
S16,1.0,0.0,0.0,0.0
S17,1.0,0.0,0.0,0.0
S18,1.0,0.0,0.0,0.0
S19,1.0,0.0,0.0,0.0
S20,1.0,0.0,0.0,0.0
S21,1.0,0.0,0.0,0.0
S22,1.0,0.0,0.0,0.0
S23,1.0,0.0,0.0,0.0
S24,1.0,0.0,0.0,0.0
S25,1.0,0.0,0.0,0.0
S26,1.0,0.0,0.0,0.0
S27,1.0,0.0,0.0,0.0
S28,1.0,0.0,0.0,0.0
S29,1.0,0.0,0.0,0.0
S30,1.0,0.0,0.0,0.0
S31,1.0,0.0,0.0,0.0
S32,1.0,0.0,0.0,0.0
S33,1.0,0.0,0.0,0.0
S35,1.0,0.0,0.0,0.0
S36,1.0,0.0,0.0,0.0
S37,1.0,0.0,0.0,0.0
S38,1.0,0.0,0.0,0.0
