Subject,Accuracy,Precision,Recall,F1
S06,0.9935897435897436,1.0,0.9859154929577465,0.9929078014184397
S07,0.9866666666666667,1.0,0.9692307692307692,0.984375
S08,1.0,1.0,1.0,1.0
S09,1.0,1.0,1.0,1.0
S10,1.0,1.0,1.0,1.0
S11,1.0,1.0,1.0,1.0
S12,1.0,1.0,1.0,1.0
S13,1.0,1.0,1.0,1.0
S14,0.9938271604938271,0.9863013698630136,1.0,0.993103448275862
S15,0.9938271604938271,0.9868421052631579,1.0,0.9933774834437086
S16,1.0,1.0,1.0,1.0
S17,0.9937888198757764,1.0,0.9864864864864865,0.9931972789115646
S18,1.0,1.0,1.0,1.0
S19,0.9810126582278481,0.9605263157894737,1.0,0.9798657718120806
S20,1.0,1.0,1.0,1.0
S21,0.9938650306748467,1.0,0.9863013698630136,0.993103448275862
S22,1.0,1.0,1.0,1.0
S23,0.9938650306748467,0.987012987012987,1.0,0.9934640522875817
S24,1.0,1.0,1.0,1.0
S25,1.0,1.0,1.0,1.0
S26,0.9875776397515528,1.0,0.972972972972973,0.9863013698630136
S27,1.0,1.0,1.0,1.0
S28,1.0,1.0,1.0,1.0
S29,0.9936708860759493,0.9866666666666667,1.0,0.9932885906040269
S30,0.9875776397515528,0.9736842105263158,1.0,0.9866666666666667
S31,1.0,1.0,1.0,1.0
S32,1.0,1.0,1.0,1.0
S33,1.0,1.0,1.0,1.0
S35,1.0,1.0,1.0,1.0
S36,0.9875,0.974025974025974,1.0,0.9868421052631579
S37,1.0,1.0,1.0,1.0
S38,1.0,1.0,1.0,1.0
