Subject,Accuracy,Precision,Recall,F1
S06,1.0,1.0,1.0,1.0
S07,0.98,1.0,0.9538461538461539,0.9763779527559056
S08,1.0,1.0,1.0,1.0
S09,1.0,1.0,1.0,1.0
S10,1.0,1.0,1.0,1.0
S11,1.0,1.0,1.0,1.0
S12,1.0,1.0,1.0,1.0
S13,0.99375,1.0,0.9866666666666667,0.9932885906040269
S14,0.9814814814814815,0.96,1.0,0.9795918367346939
S15,0.9814814814814815,0.9615384615384616,1.0,0.9803921568627451
S16,1.0,1.0,1.0,1.0
S17,1.0,1.0,1.0,1.0
S18,1.0,1.0,1.0,1.0
S19,0.9746835443037974,0.948051948051948,1.0,0.9733333333333334
S20,0.9935897435897436,1.0,0.9861111111111112,0.993006993006993
S21,0.9938650306748467,1.0,0.9863013698630136,0.993103448275862
S22,1.0,1.0,1.0,1.0
S23,0.9631901840490797,0.9375,0.9868421052631579,0.9615384615384616
S24,1.0,1.0,1.0,1.0
S25,0.9938650306748467,0.9868421052631579,1.0,0.9933774834437086
S26,0.9937888198757764,1.0,0.9864864864864865,0.9931972789115646
S27,1.0,1.0,1.0,1.0
S28,0.9935897435897436,1.0,0.9857142857142858,0.9928057553956835
S29,0.9873417721518988,1.0,0.972972972972973,0.9863013698630136
S30,0.9751552795031055,0.972972972972973,0.972972972972973,0.972972972972973
S31,1.0,1.0,1.0,1.0
S32,1.0,1.0,1.0,1.0
S33,0.9876543209876543,0.9864864864864865,0.9864864864864865,0.9864864864864865
S35,0.99375,1.0,0.9864864864864865,0.9931972789115646
S36,1.0,1.0,1.0,1.0
S37,1.0,1.0,1.0,1.0
S38,0.9691358024691358,1.0,0.9324324324324325,0.965034965034965
